Name,Fertility,Photoperiod,Temperature,Rainfall,pH,Light_Hours,Light_Intensity,Rh,Nitrogen,Phosphorus,Potassium,Yield,Category_pH,Soil_Type,Season,N_Ratio,P_Ratio,K_Ratio
Green Peas,Moderate,Short Day Period,17.0732774408505,960.704235301161,6.63312971061399,7.22853254848299,281.562619909241,66.0667190661494,155.238837694588,44.0231830987776,121.331075444154,5.04420336586112,low_acidic,Sandy,Spring,5.0,10.0,10.0
Watermelon,High,Short Day Period,33.8366289069633,556.480936555476,6.39939192525203,6.55773664338358,272.839278454458,90.0602660728174,88.6765401210011,53.9519705732532,50.4079214325584,51.8091354067211,neutral,Sandy Loam,Summer,10.0,10.0,10.0
Kale,High,Short Day Period,16.6667171664856,663.620826957499,5.69473669714974,10.3897532095307,87.0099039101284,95.3622429721099,176.92725662614,58.7390479960961,115.055929129623,17.5453737635847,low_acidic,Loam,Summer,10.0,10.0,10.0
Potatoes,Moderate,Short Day Period,20.9016627775236,580.601748103224,5.91564028520451,7.23892992689879,339.079418954137,76.1004695596023,197.703472562545,73.1929000764144,187.947061999774,29.4745008382226,low_acidic,Loam,Fall,10.0,10.0,10.0
Chard,High,Day Neutral,21.8164526112538,717.803105393293,6.40825559201631,12.8074577696328,921.904504334767,43.9709503600223,185.145039535926,243.626552981423,330.597995335537,25.562060419115,neutral,Loam,Summer,5.0,10.0,10.0
Cabbage,High,Short Day Period,19.640377060226,761.924035531633,6.83191345805438,7.19278026275277,329.296383431373,64.7750000814608,143.529802467383,60.064250700393,187.769129971875,19.0790436181808,low_acidic,Loam,Spring,10.0,10.0,10.0
Beet,High,Short Day Period,20.16045345872,742.905409465834,6.374359801931,6.33586576022898,144.086211141073,99.0976873631702,119.561415219923,151.307419824519,103.340093203444,54.7074269047134,low_acidic,Sandy Loam,Spring,75.0,37.5,37.5
Cress,High,Day Neutral,17.1850456401303,1530.24989217662,6.78184906711381,10.9078513562803,340.557046993833,49.5044991444846,102.88380566464,106.989511003786,114.132682996359,1.23870471820228,neutral,Loam,Spring,5.0,10.0,5.0
Spinach,High,Short Day Period,14.4272436992307,962.422116877028,6.62713050564654,12.2001240000928,229.157193978232,54.5877525681213,121.190030222218,72.0501683778444,59.2234084501386,14.5870959056455,neutral,Sandy Loam,Spring,10.0,10.0,10.0
Cauliflowers,High,Short Day Period,22.1860167364601,795.929459162854,6.35034363058774,7.25171030615882,399.919968971561,53.9124955364042,135.566355481921,91.1261927326822,187.839271881738,23.5202697727518,low_acidic,Loam,Winter,10.0,10.0,10.0
